date,year,month,month_name,quarter,product_name,category,region,units_sold,unit_price_inr,revenue_inr,stock_start,stock_end,stockout_flag,lag_1_units,lag_3_units,rolling_avg_3,units_sold_clean,month_sin,month_cos,is_q4,is_winter,is_diwali_month,year_index
2023-01-01,2023,1,January,Q1,Alprazone-0.25,Anxiolytic,East,231,2.9,669.9,229,227,0,207.0,182.0,209.7,231.0,0.49999999999999994,0.8660254037844387,0,1,0,1
2023-02-01,2023,2,February,Q1,Alprazone-0.25,Anxiolytic,East,226,2.9,655.4,190,198,0,231.0,191.0,221.3,226.0,0.8660254037844386,0.5000000000000001,0,1,0,1
2023-03-01,2023,3,March,Q1,Alprazone-0.25,Anxiolytic,East,215,2.9,623.5,268,260,0,226.0,207.0,224.0,215.0,1.0,6.123233995736766e-17,0,0,0,1
2023-04-01,2023,4,April,Q2,Alprazone-0.25,Anxiolytic,East,217,2.9,629.3,283,274,0,215.0,231.0,219.3,217.0,0.8660254037844387,-0.4999999999999998,0,0,0,1
2023-05-01,2023,5,May,Q2,Alprazone-0.25,Anxiolytic,East,233,2.9,675.7,321,333,0,217.0,226.0,221.7,233.0,0.49999999999999994,-0.8660254037844387,0,0,0,1
2023-06-01,2023,6,June,Q2,Alprazone-0.25,Anxiolytic,East,218,2.9,632.2,201,195,0,233.0,215.0,222.7,218.0,1.2246467991473532e-16,-1.0,0,0,0,1
2023-07-01,2023,7,July,Q3,Alprazone-0.25,Anxiolytic,East,175,2.9,507.5,154,159,0,218.0,217.0,208.7,175.0,-0.4999999999999997,-0.8660254037844388,0,0,0,1
2023-08-01,2023,8,August,Q3,Alprazone-0.25,Anxiolytic,East,191,2.9,553.9,183,195,0,175.0,233.0,194.7,191.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
2023-09-01,2023,9,September,Q3,Alprazone-0.25,Anxiolytic,East,202,2.9,585.8,224,243,0,191.0,218.0,189.3,202.0,-1.0,-1.8369701987210297e-16,0,0,0,1
2023-10-01,2023,10,October,Q4,Alprazone-0.25,Anxiolytic,East,200,2.9,580.0,160,151,0,202.0,175.0,197.7,200.0,-0.8660254037844386,0.5000000000000001,1,0,1,1
2023-11-01,2023,11,November,Q4,Alprazone-0.25,Anxiolytic,East,210,2.9,609.0,262,260,0,200.0,191.0,204.0,210.0,-0.5000000000000004,0.8660254037844384,1,1,0,1
2023-12-01,2023,12,December,Q4,Alprazone-0.25,Anxiolytic,East,215,2.9,623.5,246,230,0,210.0,202.0,208.3,215.0,-2.4492935982947064e-16,1.0,1,1,0,1
2024-01-01,2024,1,January,Q1,Alprazone-0.25,Anxiolytic,East,211,2.9,611.9,185,204,0,215.0,200.0,212.0,211.0,0.49999999999999994,0.8660254037844387,0,1,0,2
2024-02-01,2024,2,February,Q1,Alprazone-0.25,Anxiolytic,East,261,2.9,756.9,278,262,0,211.0,210.0,229.0,261.0,0.8660254037844386,0.5000000000000001,0,1,0,2
2024-03-01,2024,3,March,Q1,Alprazone-0.25,Anxiolytic,East,243,2.9,704.7,304,287,0,261.0,215.0,238.3,243.0,1.0,6.123233995736766e-17,0,0,0,2
2024-04-01,2024,4,April,Q2,Alprazone-0.25,Anxiolytic,East,233,2.9,675.7,315,302,0,243.0,211.0,245.7,233.0,0.8660254037844387,-0.4999999999999998,0,0,0,2
2024-05-01,2024,5,May,Q2,Alprazone-0.25,Anxiolytic,East,240,2.9,696.0,335,313,0,233.0,261.0,238.7,240.0,0.49999999999999994,-0.8660254037844387,0,0,0,2
2024-06-01,2024,6,June,Q2,Alprazone-0.25,Anxiolytic,East,232,2.9,672.8,277,264,0,240.0,243.0,235.0,232.0,1.2246467991473532e-16,-1.0,0,0,0,2
2024-07-01,2024,7,July,Q3,Alprazone-0.25,Anxiolytic,East,236,2.9,684.4,228,221,0,232.0,233.0,236.0,236.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2
2024-08-01,2024,8,August,Q3,Alprazone-0.25,Anxiolytic,East,209,2.9,606.1,193,175,0,236.0,240.0,225.7,209.0,-0.8660254037844385,-0.5000000000000004,0,0,0,2
2024-09-01,2024,9,September,Q3,Alprazone-0.25,Anxiolytic,East,192,2.9,556.8,168,178,0,209.0,232.0,212.3,192.0,-1.0,-1.8369701987210297e-16,0,0,0,2
2024-10-01,2024,10,October,Q4,Alprazone-0.25,Anxiolytic,East,169,2.9,490.1,178,171,0,192.0,236.0,190.0,169.0,-0.8660254037844386,0.5000000000000001,1,0,1,2
2024-11-01,2024,11,November,Q4,Alprazone-0.25,Anxiolytic,East,207,2.9,600.3,262,265,0,169.0,209.0,189.3,207.0,-0.5000000000000004,0.8660254037844384,1,1,0,2
2024-12-01,2024,12,December,Q4,Alprazone-0.25,Anxiolytic,East,288,2.9,835.2,373,384,0,207.0,192.0,221.3,288.0,-2.4492935982947064e-16,1.0,1,1,0,2
2022-01-01,2022,1,January,Q1,Alprazone-0.25,Anxiolytic,North,371,2.9,1075.9,396,418,0,349.0,349.0,349.15,371.0,0.49999999999999994,0.8660254037844387,0,1,0,0
2022-02-01,2022,2,February,Q1,Alprazone-0.25,Anxiolytic,North,385,2.9,1116.5,407,379,0,371.0,349.0,349.15,385.0,0.8660254037844386,0.5000000000000001,0,1,0,0
2022-03-01,2022,3,March,Q1,Alprazone-0.25,Anxiolytic,North,321,2.9,930.9,447,444,0,385.0,349.0,359.0,321.0,1.0,6.123233995736766e-17,0,0,0,0
2022-04-01,2022,4,April,Q2,Alprazone-0.25,Anxiolytic,North,342,2.9,991.8,428,425,0,321.0,371.0,349.3,342.0,0.8660254037844387,-0.4999999999999998,0,0,0,0
2022-05-01,2022,5,May,Q2,Alprazone-0.25,Anxiolytic,North,300,2.9,870.0,337,316,0,342.0,385.0,321.0,300.0,0.49999999999999994,-0.8660254037844387,0,0,0,0
2022-06-01,2022,6,June,Q2,Alprazone-0.25,Anxiolytic,North,318,2.9,922.2,360,350,0,300.0,321.0,320.0,318.0,1.2246467991473532e-16,-1.0,0,0,0,0
2022-07-01,2022,7,July,Q3,Alprazone-0.25,Anxiolytic,North,384,2.9,1113.6,359,394,0,318.0,342.0,334.0,384.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0
2022-08-01,2022,8,August,Q3,Alprazone-0.25,Anxiolytic,North,298,2.9,864.2,321,349,0,384.0,300.0,333.3,298.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0
2022-09-01,2022,9,September,Q3,Alprazone-0.25,Anxiolytic,North,302,2.9,875.8,391,406,0,298.0,318.0,328.0,302.0,-1.0,-1.8369701987210297e-16,0,0,0,0
2022-10-01,2022,10,October,Q4,Alprazone-0.25,Anxiolytic,North,216,2.9,626.4,175,173,0,302.0,384.0,272.0,216.0,-0.8660254037844386,0.5000000000000001,1,0,1,0
2022-11-01,2022,11,November,Q4,Alprazone-0.25,Anxiolytic,North,361,2.9,1046.9,352,316,0,216.0,298.0,293.0,361.0,-0.5000000000000004,0.8660254037844384,1,1,0,0
2022-12-01,2022,12,December,Q4,Alprazone-0.25,Anxiolytic,North,380,2.9,1102.0,321,313,0,361.0,302.0,319.0,380.0,-2.4492935982947064e-16,1.0,1,1,0,0
2023-01-01,2023,1,January,Q1,Alprazone-0.25,Anxiolytic,North,314,2.9,910.6,294,280,0,380.0,216.0,351.7,314.0,0.49999999999999994,0.8660254037844387,0,1,0,1
2023-02-01,2023,2,February,Q1,Alprazone-0.25,Anxiolytic,North,379,2.9,1099.1,331,360,0,314.0,361.0,357.7,379.0,0.8660254037844386,0.5000000000000001,0,1,0,1
2023-03-01,2023,3,March,Q1,Alprazone-0.25,Anxiolytic,North,386,2.9,1119.4,371,370,0,379.0,380.0,359.7,386.0,1.0,6.123233995736766e-17,0,0,0,1
2023-04-01,2023,4,April,Q2,Alprazone-0.25,Anxiolytic,North,375,2.9,1087.5,355,373,0,386.0,314.0,380.0,375.0,0.8660254037844387,-0.4999999999999998,0,0,0,1
2023-05-01,2023,5,May,Q2,Alprazone-0.25,Anxiolytic,North,368,2.9,1067.2,403,394,0,375.0,379.0,376.3,368.0,0.49999999999999994,-0.8660254037844387,0,0,0,1
2023-06-01,2023,6,June,Q2,Alprazone-0.25,Anxiolytic,North,338,2.9,980.2,280,270,0,368.0,386.0,360.3,338.0,1.2246467991473532e-16,-1.0,0,0,0,1
2023-07-01,2023,7,July,Q3,Alprazone-0.25,Anxiolytic,North,349,2.9,1012.1,378,404,0,338.0,375.0,351.7,349.0,-0.4999999999999997,-0.8660254037844388,0,0,0,1
2023-08-01,2023,8,August,Q3,Alprazone-0.25,Anxiolytic,North,365,2.9,1058.5,486,470,0,349.0,368.0,350.7,365.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
2023-09-01,2023,9,September,Q3,Alprazone-0.25,Anxiolytic,North,318,2.9,922.2,438,439,0,365.0,338.0,344.0,318.0,-1.0,-1.8369701987210297e-16,0,0,0,1
2023-10-01,2023,10,October,Q4,Alprazone-0.25,Anxiolytic,North,311,2.9,901.9,252,239,0,318.0,349.0,331.3,311.0,-0.8660254037844386,0.5000000000000001,1,0,1,1
2023-11-01,2023,11,November,Q4,Alprazone-0.25,Anxiolytic,North,346,2.9,1003.4,359,345,0,311.0,365.0,325.0,346.0,-0.5000000000000004,0.8660254037844384,1,1,0,1
2023-12-01,2023,12,December,Q4,Alprazone-0.25,Anxiolytic,North,374,2.9,1084.6,381,360,0,346.0,318.0,343.7,374.0,-2.4492935982947064e-16,1.0,1,1,0,1
2024-01-01,2024,1,January,Q1,Alprazone-0.25,Anxiolytic,North,370,2.9,1073.0,400,428,0,374.0,311.0,363.3,370.0,0.49999999999999994,0.8660254037844387,0,1,0,2
2024-02-01,2024,2,February,Q1,Alprazone-0.25,Anxiolytic,North,388,2.9,1125.2,498,494,0,370.0,346.0,377.3,388.0,0.8660254037844386,0.5000000000000001,0,1,0,2
2024-03-01,2024,3,March,Q1,Alprazone-0.25,Anxiolytic,North,342,2.9,991.8,363,369,0,388.0,374.0,366.7,342.0,1.0,6.123233995736766e-17,0,0,0,2
2024-04-01,2024,4,April,Q2,Alprazone-0.25,Anxiolytic,North,348,2.9,1009.2,396,414,0,342.0,370.0,359.3,348.0,0.8660254037844387,-0.4999999999999998,0,0,0,2
2024-05-01,2024,5,May,Q2,Alprazone-0.25,Anxiolytic,North,364,2.9,1055.6,396,407,0,348.0,388.0,351.3,364.0,0.49999999999999994,-0.8660254037844387,0,0,0,2
2024-06-01,2024,6,June,Q2,Alprazone-0.25,Anxiolytic,North,346,2.9,1003.4,396,386,0,364.0,342.0,352.7,346.0,1.2246467991473532e-16,-1.0,0,0,0,2
2024-07-01,2024,7,July,Q3,Alprazone-0.25,Anxiolytic,North,337,2.9,977.3,461,466,0,346.0,348.0,349.0,337.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2
2024-08-01,2024,8,August,Q3,Alprazone-0.25,Anxiolytic,North,363,2.9,1052.7,398,376,0,337.0,364.0,348.7,363.0,-0.8660254037844385,-0.5000000000000004,0,0,0,2
2024-09-01,2024,9,September,Q3,Alprazone-0.25,Anxiolytic,North,352,2.9,1020.8,313,339,0,363.0,346.0,350.7,352.0,-1.0,-1.8369701987210297e-16,0,0,0,2
2024-10-01,2024,10,October,Q4,Alprazone-0.25,Anxiolytic,North,312,2.9,904.8,306,293,0,352.0,337.0,342.3,312.0,-0.8660254037844386,0.5000000000000001,1,0,1,2
2024-11-01,2024,11,November,Q4,Alprazone-0.25,Anxiolytic,North,352,2.9,1020.8,406,417,0,312.0,363.0,338.7,352.0,-0.5000000000000004,0.8660254037844384,1,1,0,2
2024-12-01,2024,12,December,Q4,Alprazone-0.25,Anxiolytic,North,339,2.9,983.1,425,398,0,352.0,352.0,334.3,339.0,-2.4492935982947064e-16,1.0,1,1,0,2
2022-01-01,2022,1,January,Q1,Alprazone-0.25,Anxiolytic,South,238,2.9,690.2,307,324,0,249.0,249.0,247.3,238.0,0.49999999999999994,0.8660254037844387,0,1,0,0
2022-02-01,2022,2,February,Q1,Alprazone-0.25,Anxiolytic,South,252,2.9,730.8,224,200,0,238.0,249.0,247.3,252.0,0.8660254037844386,0.5000000000000001,0,1,0,0
2022-03-01,2022,3,March,Q1,Alprazone-0.25,Anxiolytic,South,249,2.9,722.1,302,284,0,252.0,249.0,246.3,249.0,1.0,6.123233995736766e-17,0,0,0,0
2022-04-01,2022,4,April,Q2,Alprazone-0.25,Anxiolytic,South,270,2.9,783.0,234,258,0,249.0,238.0,257.0,270.0,0.8660254037844387,-0.4999999999999998,0,0,0,0
2022-05-01,2022,5,May,Q2,Alprazone-0.25,Anxiolytic,South,229,2.9,664.1,259,260,0,270.0,252.0,249.3,229.0,0.49999999999999994,-0.8660254037844387,0,0,0,0
2022-06-01,2022,6,June,Q2,Alprazone-0.25,Anxiolytic,South,221,2.9,640.9,235,240,0,229.0,249.0,240.0,221.0,1.2246467991473532e-16,-1.0,0,0,0,0
2022-07-01,2022,7,July,Q3,Alprazone-0.25,Anxiolytic,South,204,2.9,591.6,274,283,0,221.0,270.0,218.0,204.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0
2022-08-01,2022,8,August,Q3,Alprazone-0.25,Anxiolytic,South,246,2.9,713.4,283,276,0,204.0,229.0,223.7,246.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0
2022-09-01,2022,9,September,Q3,Alprazone-0.25,Anxiolytic,South,228,2.9,661.2,260,280,0,246.0,221.0,226.0,228.0,-1.0,-1.8369701987210297e-16,0,0,0,0
2022-10-01,2022,10,October,Q4,Alprazone-0.25,Anxiolytic,South,226,2.9,655.4,274,257,0,228.0,204.0,233.3,226.0,-0.8660254037844386,0.5000000000000001,1,0,1,0
2022-11-01,2022,11,November,Q4,Alprazone-0.25,Anxiolytic,South,256,2.9,742.4,318,335,0,226.0,246.0,236.7,256.0,-0.5000000000000004,0.8660254037844384,1,1,0,0
2022-12-01,2022,12,December,Q4,Alprazone-0.25,Anxiolytic,South,243,2.9,704.7,245,226,0,256.0,228.0,241.7,243.0,-2.4492935982947064e-16,1.0,1,1,0,0
2023-01-01,2023,1,January,Q1,Alprazone-0.25,Anxiolytic,South,248,2.9,719.2,317,338,0,243.0,226.0,249.0,248.0,0.49999999999999994,0.8660254037844387,0,1,0,1
2023-02-01,2023,2,February,Q1,Alprazone-0.25,Anxiolytic,South,206,2.9,597.4,237,242,0,248.0,256.0,232.3,206.0,0.8660254037844386,0.5000000000000001,0,1,0,1
2023-03-01,2023,3,March,Q1,Alprazone-0.25,Anxiolytic,South,263,2.9,762.7,255,235,0,206.0,243.0,239.0,263.0,1.0,6.123233995736766e-17,0,0,0,1
2023-04-01,2023,4,April,Q2,Alprazone-0.25,Anxiolytic,South,257,2.9,745.3,261,249,0,263.0,248.0,242.0,257.0,0.8660254037844387,-0.4999999999999998,0,0,0,1
2023-05-01,2023,5,May,Q2,Alprazone-0.25,Anxiolytic,South,252,2.9,730.8,297,307,0,257.0,206.0,257.3,252.0,0.49999999999999994,-0.8660254037844387,0,0,0,1
2023-06-01,2023,6,June,Q2,Alprazone-0.25,Anxiolytic,South,254,2.9,736.6,269,266,0,252.0,263.0,254.3,254.0,1.2246467991473532e-16,-1.0,0,0,0,1
2023-07-01,2023,7,July,Q3,Alprazone-0.25,Anxiolytic,South,222,2.9,643.8,206,213,0,254.0,257.0,242.7,222.0,-0.4999999999999997,-0.8660254037844388,0,0,0,1
2023-08-01,2023,8,August,Q3,Alprazone-0.25,Anxiolytic,South,226,2.9,655.4,195,195,0,222.0,252.0,234.0,226.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
2023-09-01,2023,9,September,Q3,Alprazone-0.25,Anxiolytic,South,229,2.9,664.1,276,267,0,226.0,254.0,225.7,229.0,-1.0,-1.8369701987210297e-16,0,0,0,1
2023-10-01,2023,10,October,Q4,Alprazone-0.25,Anxiolytic,South,219,2.9,635.1,220,214,0,229.0,222.0,224.7,219.0,-0.8660254037844386,0.5000000000000001,1,0,1,1
2023-11-01,2023,11,November,Q4,Alprazone-0.25,Anxiolytic,South,289,2.9,838.1,242,226,0,219.0,226.0,245.7,289.0,-0.5000000000000004,0.8660254037844384,1,1,0,1
2023-12-01,2023,12,December,Q4,Alprazone-0.25,Anxiolytic,South,261,2.9,756.9,306,320,0,289.0,229.0,256.3,261.0,-2.4492935982947064e-16,1.0,1,1,0,1
2024-01-01,2024,1,January,Q1,Alprazone-0.25,Anxiolytic,South,287,2.9,832.3,351,325,0,261.0,219.0,279.0,287.0,0.49999999999999994,0.8660254037844387,0,1,0,2
2024-02-01,2024,2,February,Q1,Alprazone-0.25,Anxiolytic,South,234,2.9,678.6,193,177,0,287.0,289.0,260.7,234.0,0.8660254037844386,0.5000000000000001,0,1,0,2
2024-03-01,2024,3,March,Q1,Alprazone-0.25,Anxiolytic,South,298,2.9,864.2,251,258,0,234.0,261.0,273.0,298.0,1.0,6.123233995736766e-17,0,0,0,2
2024-04-01,2024,4,April,Q2,Alprazone-0.25,Anxiolytic,South,278,2.9,806.2,223,215,0,298.0,287.0,270.0,278.0,0.8660254037844387,-0.4999999999999998,0,0,0,2
2024-05-01,2024,5,May,Q2,Alprazone-0.25,Anxiolytic,South,275,2.9,797.5,239,227,0,278.0,234.0,283.7,275.0,0.49999999999999994,-0.8660254037844387,0,0,0,2
2024-06-01,2024,6,June,Q2,Alprazone-0.25,Anxiolytic,South,252,2.9,730.8,286,278,0,275.0,298.0,268.3,252.0,1.2246467991473532e-16,-1.0,0,0,0,2
2024-07-01,2024,7,July,Q3,Alprazone-0.25,Anxiolytic,South,270,2.9,783.0,286,290,0,252.0,278.0,265.7,270.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2
2024-08-01,2024,8,August,Q3,Alprazone-0.25,Anxiolytic,South,223,2.9,646.7,222,237,0,270.0,275.0,248.3,223.0,-0.8660254037844385,-0.5000000000000004,0,0,0,2
2024-09-01,2024,9,September,Q3,Alprazone-0.25,Anxiolytic,South,268,2.9,777.2,301,289,0,223.0,252.0,253.7,268.0,-1.0,-1.8369701987210297e-16,0,0,0,2
2024-10-01,2024,10,October,Q4,Alprazone-0.25,Anxiolytic,South,240,2.9,696.0,298,314,0,268.0,270.0,243.7,240.0,-0.8660254037844386,0.5000000000000001,1,0,1,2
